"","cntry","netusoft","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","vote","contplt","wrkprty","wrkorg","badge","sgnptit","pbldmn","bctprd","pstplonl","clsprty","prtdgcl","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","gincdif","freehms","hmsfmlsh","hmsacld","euftf","imsmetn","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgblge","rlgatnd","pray","dscrgrp","dscrrce","dscrntn","dscrrlg","dscrlng","dscretn","dscrage","dscrgnd","dscrsex","dscrdsb","dscroth","dscrdk","dscrref","dscrnap","dscrna","ctzcntr","brncntr","lnghom1","lnghom2","blgetmg","facntr","mocntr","admdw","vteurmmb","evpdemp","evlvptn","lvptnyr","evmar","bthcld","nbthcld","ngchld","ygcdbyr","ggchld","admge","ageadlt","agemage","ageoage","iaglptn","iagmr","iagpnt","iagrtr","tygledu","tyglvp","tygmr","tygpnt","tolvpnt","tochld","towkht","anvcld","alvgptn","acldnmr","aftjbyc","advcyc","plnftr","hhmmb","gndr","gndr2","gndr3","gndr4","gndr5","gndr6","gndr7","gndr8","gndr9","yrbrn5","yrbrn6","yrbrn7","yrbrn8","yrbrn9","rshipa2","rshipa3","rshipa4","rshipa5","rshipa6","rshipa7","rshipa8","rshipa9","rshpsts","lvgptnea","dvrcdeva","marsts","maritalb","chldhhe","domicil","eisced","edulvlb","edubde1","eduade2","eduade3","eduyrs","pdwrk","edctn","uempla","uempli","dsbld","rtrd","cmsrv","hswrk","dngoth","dngref","dngdk","dngna","mainact","mnactic","crpdwk","pdjobev","emplrel","emplno","wrkctra","estsz","jbspv","wkdcorga","iorgact","icwhct","tporgwk","wrkac6m","uemp3m","uemp12m","uemp5yr","mbtru","hincsrca","hinctnta","hincfel","iincsrc","eiscedp","edulvlpb","edupbde1","edupade2","edupade3","pdwrkp","edctnp","uemplap","uemplip","dsbldp","rtrdp","cmsrvp","hswrkp","dngothp","dngdkp","dngnapp","dngrefp","dngnap","mnactp","crpdwkp","emprelp","eiscedf","edulvlfb","edufbde1","edufade2","edufade3","emprf14","occf14b","eiscedm","edulvlmb","edumbde1","edumade2","edumade3","emprm14","occm14b","atncrse","region","regunit","frprtpl","gvintcz","poltran","ifredu","ifrjob","evfredu","evfrjob","fvgabc","infqbst","grsplet","netilet","grspfr","netifr","occinfr","topinfr","btminfr","wltdffr","recskil","recexp","recknow","recimg","recgndr","sofrdst","sofrwrk","sofrpr","sofrprv","ppldsrv","jstprev","pcmpinj","ipcrtiv","imprich","ipeqopt","ipshabt","impsafe","impdiff","ipfrule","ipudrst","ipmodst","ipgdtim","impfree","iphlppl","ipsuces","ipstrgv","ipadvnt","ipbhprp","iprspot","iplylfr","impenv","imptrad","impfun","prtvede1","prtvede2","prtclede","rlgdnade","rlgdeade"
"1","DE",5,5,5,5,3,4,3,3,3,2,4,5,0,2,3,0,2,2,2,1,2,2,2,2,2,2,3,5,10,10,7,7,7,6,2,2,4,4,9,1,1,1,7,8,5,10,7,5,3,2,3,2,3,6,6,1,6,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,"GER","RUS",2,2,2,1,55,1,1,2012,2,2,1,9,2017,6,1,19,30,70,111,19,22,0,16,17,17,17,26,45,40,3,2,2,1,3,5,2,2,1,2,2,2,NA,NA,NA,NA,1970,NA,NA,NA,NA,1,3,4,2,6,NA,4,NA,1,2,2,NA,1,2,2,3,322,4,0,7,13,1,0,0,0,0,0,0,0,0,0,0,0,NA,1,2,1,1,300,1,1,2,2,0,1,4,2,2,1,2,3,2,3,2,1,4,313,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,3,322,3,0,6,1,6,2,212,6,0,0,3,6,2,"DEA",1,4,4,3,10,10,10,8,1,2,10,10,0,0,0,-1,1,-1,2,2,3,2,2,2,2,2,4,3,3,4,3,5,2,5,2,2,3,3,3,3,2,2,5,3,4,5,5,3,2,5,3,4,6,2,4,2
"2","DE",1,7,8,5,1,4,4,4,4,7,8,8,6,6,4,5,1,2,2,2,2,2,1,1,2,1,2,5,8,8,5,9,7,8,1,1,5,1,8,1,1,1,10,5,5,8,4,5,3,2,3,2,2,10,8,1,6,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"GER","000",2,1,1,3,1,1,1,1976,1,1,3,4,2006,6,2,18,40,70,23,28,28,65,15,18,20,22,30,50,70,3,3,3,5,3,3,2,2,1,2,2,2,NA,NA,NA,NA,1969,NA,NA,NA,NA,1,2,4,1,6,NA,4,NA,1,2,2,NA,1,1,2,3,321,3,0,3,11,0,0,0,0,0,1,0,1,0,0,0,0,8,8,2,1,1,0,1,1,1,4,4,1,4,2,2,1,2,3,4,6,2,4,7,720,6,8,12,0,0,0,0,0,1,0,0,0,0,0,0,0,9,2,1,3,321,3,0,8,1,3,2,212,3,0,0,3,5,2,"DE2",1,4,4,3,10,5,4,6,2,2,10,1,0,0,0,0,-4,4,3,2,3,3,2,3,2,2,4,3,4,4,3,6,2,5,1,3,3,2,4,3,2,1,5,1,6,3,5,1,1,4,5,1,1,1,1,2
"3","DE",3,7,7,5,1,2,2,3,3,3,5,6,3,5,5,6,1,2,2,1,2,2,2,2,2,1,2,3,8,5,6,6,4,8,1,1,3,3,8,1,1,1,9,8,8,10,4,4,4,2,2,2,3,9,10,1,6,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"GER","000",2,1,1,3,1,1,1,1964,1,1,3,5,1992,2,1,18,35,75,20,22,22,70,16,16,16,16,20,40,65,3,3,3,2,3,3,2,2,1,2,2,1,NA,NA,NA,NA,2018,NA,NA,NA,NA,1,2,3,6,6,NA,4,NA,1,2,2,NA,1,1,3,5,422,5,0,4,20,1,0,0,0,0,1,0,0,0,0,0,0,6,6,2,1,2,0,2,1,1,7,3,2,5,2,2,1,1,3,4,6,3,4,7,720,6,8,12,1,0,0,0,0,1,0,0,0,0,0,0,0,6,2,1,6,610,6,5,12,1,3,2,213,4,0,0,3,7,2,"DE9",1,5,3,3,10,10,8,5,2,2,10,10,-3,0,-4,0,-2,0,4,4,3,2,2,4,2,2,2,2,2,3,1,6,2,2,5,1,6,2,4,1,1,1,1,3,5,5,4,1,1,1,1,2,2,2,2,3
"4","DE",2,7,6,3,1,3,2,2,3,3,4,4,3,3,2,2,1,1,2,1,2,2,2,1,2,1,3,2,6,6,2,4,3,3,2,4,2,4,6,2,2,2,4,4,3,6,4,3,2,2,2,3,2,6,3,1,6,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"GER","000",2,1,1,2,1,1,1,1974,1,1,3,3,2014,6,2,18,45,60,25,25,26,55,20,18,18,17,30,48,65,3,4,4,3,2,6,2,1,2,1,2,1,NA,NA,NA,NA,1972,NA,NA,NA,NA,1,2,2,2,5,NA,5,NA,1,2,2,NA,1,1,4,3,322,3,0,6,12,0,0,0,0,0,1,0,0,0,0,0,0,NA,6,2,1,1,65,1,1,2,10,6,1,3,2,1,1,1,2,1,6,2,4,3,322,3,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,3,321,3,0,1,1,5,2,212,3,0,0,3,9,2,"DEA",1,2,3,2,8,8,4,3,2,2,1,1,0,-3,-2,2,-4,3,1,2,3,2,2,2,3,2,4,5,4,5,2,5,2,3,4,5,5,2,2,2,2,2,4,2,5,3,2,2,2,3,2,2,2,2,1,2
"5","DE",5,5,6,6,3,2,3,3,4,4,5,7,5,5,4,5,1,2,2,1,2,1,2,1,1,2,2,1,9,9,5,5,5,5,3,1,5,1,10,1,1,1,8,8,8,9,5,3,3,2,2,1,3,4,4,2,2,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"GER","000",2,1,1,2,1,1,1,1988,2,1,1,0,2017,6,2,30,45,75,30,0,30,75,20,20,20,25,45,60,65,3,3,3,3,3,5,2,2,1,1,1,1,NA,NA,NA,NA,2018,NA,NA,NA,NA,1,3,3,6,2,NA,4,NA,3,6,2,6,6,1,2,3,322,4,0,3,14,1,0,0,0,0,0,0,0,0,0,0,0,NA,1,2,1,2,0,1,1,2,10,10,1,5,2,2,1,2,3,2,8,2,2,5,520,6,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,3,322,4,0,6,1,9,3,322,4,0,6,1,9,2,"DE4",1,3,3,1,5,5,5,6,1,2,1,10,-1,-2,-3,1,-4,3,3,3,3,3,3,2,2,2,4,2,2,2,2,5,2,2,5,4,6,2,3,2,2,4,2,4,3,5,6,2,2,5,4,9,5,4,1,2
"6","DE",5,3,6,5,2,3,1,8,4,9,7,7,8,8,10,10,1,2,2,2,2,2,2,2,2,2,2,5,9,8,10,10,8,9,1,1,5,1,8,2,2,1,8,8,7,9,6,4,2,2,3,1,3,9,7,1,6,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"TAM","GER",1,2,2,2,1,2,2,2009,2,2,2,9,2012,6,1,19,30,50,0,26,29,58,18,23,23,24,27,37,55,3,2,2,4,4,4,4,2,1,2,1,2,NA,NA,NA,NA,2018,NA,NA,NA,NA,3,3,4,6,2,NA,5,NA,1,2,2,6,6,2,2,4,313,6,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,NA,9,2,2,1,0,2,3,2,0,0,1,1,2,2,1,2,3,1,6,2,6,1,313,1,9,2,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,1,1,113,1,0,0,1,7,1,113,1,0,0,1,8,2,"DEA",1,5,4,3,9,8,4,4,3,2,9,1,3,4,4,2,-3,3,4,3,3,4,3,2,1,2,4,2,2,3,3,3,1,3,2,2,2,1,2,3,3,1,1,1,3,4,3,1,1,1,2,2,1,1,7,2
"7","DE",4,3,4,4,1,3,3,3,3,10,10,10,10,4,10,10,1,1,2,1,2,1,2,1,2,1,1,5,10,10,5,10,0,5,1,1,4,1,10,2,2,3,10,10,6,9,4,3,4,2,2,2,3,10,10,1,6,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"GER","000",2,1,1,3,1,1,1,1968,1,1,2,2,2001,2,2,20,50,65,25,30,25,0,15,20,18,18,30,50,0,3,3,3,3,3,0,1,2,1,1,2,1,NA,NA,NA,NA,2018,NA,NA,NA,NA,3,3,4,5,5,NA,5,NA,1,2,2,5,5,1,4,3,321,4,0,3,12,0,0,0,0,0,1,0,0,0,0,0,0,NA,6,2,1,1,0,1,5,2,10,3,1,1,2,2,1,2,3,4,4,1,4,1,113,0,9,3,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,2,3,321,3,0,1,2,7,5,520,3,0,5,1,5,2,"DEA",1,5,3,3,0,7,7,7,2,2,10,10,-2,0,0,0,-1,2,2,2,1,1,1,2,2,2,3,2,2,2,2,5,3,4,1,3,3,3,3,3,3,2,4,2,6,5,1,1,1,1,3,1,1,1,1,2
"8","DE",5,6,5,5,3,3,1,2,2,5,7,7,5,5,6,6,1,2,2,2,2,2,2,2,2,1,2,2,8,8,7,7,8,9,1,1,5,1,5,1,1,1,8,8,8,8,5,2,3,2,2,2,2,8,8,2,2,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"GER","ENG",2,1,1,1,1,1,1,2008,1,1,2,0,2008,6,2,17,40,70,20,25,25,60,16,16,18,20,30,60,70,3,3,3,3,2,3,5,1,2,1,1,2,NA,NA,NA,NA,2013,NA,NA,NA,NA,1,2,2,2,6,NA,5,NA,1,1,2,NA,1,1,1,5,422,5,0,6,14,1,0,0,0,0,0,0,0,0,0,0,0,NA,1,2,1,1,50,2,4,2,7,0,1,2,2,1,1,2,3,1,5,2,1,4,313,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,3,322,4,0,6,1,6,3,322,4,0,6,1,5,2,"DE4",1,3,3,2,7,7,7,7,1,2,1,10,-1,-1,0,1,-1,1,4,4,3,3,2,2,2,2,4,2,2,2,2,4,2,2,2,4,3,2,3,2,2,3,3,4,4,3,3,2,2,2,2,2,2,2,1,2
"9","DE",4,7,7,8,2,2,3,2,4,5,8,9,5,5,3,7,1,2,2,2,2,1,1,1,2,1,2,3,4,5,4,6,4,6,1,1,5,1,4,1,2,3,7,7,7,5,5,4,2,2,1,4,2,7,7,2,1,7,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"GER","ENG",2,1,1,3,1,1,1,1980,1,2,1,6,2017,6,1,22,40,65,20,22,22,65,16,18,22,22,25,45,60,3,3,3,3,3,7,1,1,2,2,2,1,NA,NA,NA,NA,1964,NA,NA,NA,NA,6,6,6,6,2,NA,5,NA,1,1,1,4,4,2,1,5,422,4,0,9,16,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,1,10,1,1,2,1,0,1,4,2,1,1,1,2,5,1,2,6,1,113,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,1,7,720,6,8,0,2,1,4,312,5,0,0,4,8,2,"DE3",1,3,3,3,10,10,4,5,3,2,1,1,-1,-2,-2,-1,-2,-3,3,2,4,4,3,3,2,2,5,3,4,4,2,5,2,4,4,1,4,2,3,2,1,2,4,2,3,5,4,1,2,3,4,3,3,3,2,1
"10","DE",1,8,9,9,2,3,2,3,3,7,8,8,6,6,7,7,1,1,1,2,2,2,2,2,2,1,3,5,9,9,6,9,9,6,2,2,4,4,8,1,2,3,7,4,5,9,7,4,4,2,2,1,3,8,7,1,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"GER","000",2,1,1,3,1,1,2,1981,2,2,2,5,1996,6,1,18,30,80,18,20,20,60,25,18,18,19,18,40,60,3,3,3,1,3,8,1,1,1,1,2,1,NA,NA,NA,NA,1964,NA,NA,NA,NA,4,3,4,2,6,NA,4,NA,1,2,2,6,6,2,4,3,322,3,0,7,14,0,0,0,0,0,1,0,0,0,0,0,0,NA,6,2,1,1,35,1,4,2,1,1,1,4,2,2,1,2,3,4,6,2,4,1,213,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,2,2,212,3,0,0,2,9,2,212,3,0,0,3,9,2,"DE2",1,3,3,3,9,9,7,7,2,2,1,10,-2,-3,-3,3,-3,0,3,4,3,2,2,4,2,2,4,2,2,2,1,4,5,5,2,5,2,2,2,4,2,2,5,2,5,2,5,2,2,1,4,1,1,1,1,3
